Smiles,CorrectionEnergy
OCC(O)C(O)C1OC(=O)C(O)C1O,28.91778050009529
CC(C)c1cc(Cl)c(C)cc1O,-4.652182372450199
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,32.44968165565075
CC(C)C1CCC(C)CC1=O,35.775359007121665
OC(=O)c1ccc(O)cc1O,-6.823812035030202
COc1ccccc1N,-8.280232222176195
Brc1cccc2ccccc12,-31.39782356487619
C1CCN2C[C@@H]3C[C@@H](CN4CCCC[C@H]34)[C@@H]2C1,35.555374190776746
COC(=CC(O)=O)C(=O)C(C)=C,42.23331539018381
OCC1OC(=O)C(O)C(O)C1O,29.19542915739534
CN(C)c1ccc(cc1)C(=O)c2ccc(cc2)N(C)C,-37.75494099287866
N#Cc1ccccc1C#N,-109.37807679685372
C1CCC2CCCCC2C1,33.81865598430014
c1ccc2nccnc2c1,-37.70615923622634
Nc1ccc2ccccc2c1,-35.04208789352592
Nc1nc(N)nc(n1)c2ccccc2,-52.01500222217578
CN(C)CCN(Cc1sccc1)c2ccccn2,-34.178479687049645
Oc1ccc(cc1O)c2ccccc2,-41.70022938650099
c1ccc(cc1)c2cccc(c2)c3ccccc3,-73.23649087947531
[Cl-].CN(C)c1ccc2nc3cc(C)c(N)cc3[s+]c2c1,-62.17275670110071
Oc1cc2ccccc2cc1O,-34.83571789352605
CCN(CCO)c1ccccc1,-6.355546701099852
Nc1ccc2cc3ccc(N)cc3nc2c1,-66.25463938650071
CC(=O)c1ccc(cc1)c2ccccc2,-36.35638785665417
[O-][N+](=O)c1ccc(cc1)c2ccccc2,-37.57118636367992
COc1ccc(OC)c(C=O)c1,-3.040357856654623
CC(=O)c1ccc2ccccc2c1,-29.481106363679288
OC(=O)c1ccc2ccccc2n1,-33.59588487070545
COc1ccccc1OCC(O)CO,-6.716173865424935
COc1ccc(CC=C)cc1OC,-0.5066236782793538
Cc1ccc2ccc(C)nc2c1,-34.581479386500895
ClCC(=O)N(CC=C)CC=C,40.57679520303803
OC(=O)CCCOc1cc(Cl)c(Cl)cc1Cl,-1.5458293496295568
CC(=O)CC(=O)c1ccccc1,0.6853051661664864
O=C(OC(=O)c1ccccc1)c2ccccc2,-34.91946483383411
CC(C)OC(=O)COc1ccc(Cl)cc1Cl,-1.2195908426045603
